Disease,Medicine
Fungal infection,"['Flucos by Cipla | Dosage - (T1-0-0-0) | # Tablet taken once daily for fungal infections.',
    'sebifin by Sun Pharma | Dosage - (T1-0-0-0) | # Tablet taken once daily.',
    'Candid by Glenmark | Dosage - (O1-O1-0-O1) | # Cream applied morning, afternoon, and night.',
    'Nizoral by Johnson & Johnson | Dosage - (O1-0-0-O1) | # Cream applied morning and night.'
]"
Allergy,"['Cetirizine by GSK | Dosage - (T1-0-0-0) | # Antihistamine, typically taken once daily in the morning.',
    'Phenylephrine by Cipla | Dosage - (0-T1-0-0) | # Decongestant, usually taken in the afternoon as needed.',
    'Dexamethasone by Zydus | Dosage - (0-T1-0-T1) | # Corticosteroid, typically twice a day for short durations.',
    'Epipen | Dosage - (I1-0-0-I1) | # Epinephrine injection, emergency use only as prescribed.'
]"
GERD,"['Digene by Abbott | Dosage - (T1-0-T1-0) | # Usually taken after meals, so morning and evening.',
    'Eno by GSK | Dosage - (T1-T1-T1-T1) | # Can be taken as needed for acidity relief.',
    'Itopride by Abbott | Dosage - (T1-T1-T1-0) | # Often prescribed three times a day before meals.',
    'Azithromycin by Alembic | Dosage - (T1-0-0-0) | # Typically once daily for 3-5 days, usually in the morning.'
]"
Chronic cholestasis,"['Udiliv by Abbott | Dosage - (T1-0-T1-0) | # Tablet taken twice daily, morning and evening, often for liver support.',
    'Methotrexate by Cipla | Dosage - (T1-0-0-0) | # Tablet taken once weekly (usually on the same day), typically in the morning for autoimmune conditions.',
    'Dexamethasone by Zydus | Dosage - (0-T1-0-T1) | # Tablet taken twice daily, afternoon and night, usually for inflammation or allergies.'
] "
Drug Reaction,"['Cetirizine by GSK | Dosage - (T1-0-0-0) | # Tablet once in the morning, commonly used for allergies.',
    'EpiPen | Dosage - (I1-0-0-I1) | # Injection once in the morning and once at night for emergencies (only as needed).',
    'Dexamethasone by Zydus | Dosage - (0-T1-0-T1) | # Tablet twice daily, afternoon and night, for inflammation or allergies.',
    'Amoxicillin by GSK | Dosage - (T1-T1-T1-0) | # Tablet three times daily (morning, afternoon, and evening) for bacterial infections.'
]"
Peptic ulcer disease,"['Amoxicillin by GSK | Dosage - (T1-T1-T1-0) | # Tablet three times daily for infections',
    'Pantoprazole by Sun Pharma | Dosage - (T1-0-0-0) | # Tablet once daily in the morning before meals for acidity or reflux.',
    'Cimetidine by Zydus | Dosage - (T1-0-0-T1) | # Tablet twice daily, morning and night, for gastric ulcers or acid reflux.',
    'Digene by Abbott | Dosage - (T1-T1-0-0) | # Tablet or chewable, twice daily, morning and afternoon for acidity relief.'
]"
AIDS,"['Zidovudine by Zidovir | Dosage - (T1-T1-0-0) | # Typically, 300 mg twice daily for HIV treatment.',
    'Atazanavir by Atazor | Dosage - (0-T1-0-0) | # Often 300 mg once daily with food.',
    'Elvitegravir by Vitekta | Dosage - (0-0-0-T1) | # Usually taken once daily with food as part of a regimen.',
    'Maraviroc by Celsentri | Dosage - (T1-0-T1-0) | # Typically taken twice daily; dosage may vary based on other medications.'
]"
Diabetes,"['Insulin Aspart by NovoRapid | Dosage - (I1-I1-I1-0) | # Rapid-acting insulin, typically administered before meals.',
    'Metformin by Glyciphage | Dosage - (T1-0-T1-0) | # Commonly 500-1000 mg twice daily, with or after meals.',
    'Glipizide by Glucotrol | Dosage - (T1-0-T1-0) | # Often taken 30 minutes before meals, twice daily.',
    'Liraglutide by Victoza | Dosage - (I1-0-0-0) | # Usually injected once daily, consistent timing preferred.'
]"
Gastroenteritis,"['Amoxicillin by Amoxil | Dosage - (T1-T1-T1-0) | # Commonly taken 500 mg three times daily.',
    'Granisetron by Granicip | Dosage - (T1-0-T1-0) | # Often 1 mg twice daily before meals for nausea.',
    'Loperamide by Lopamide | Dosage - (T1-0-0-0) | # Typically taken once daily, as needed for diarrhea control.'
]"
Bronchial Asthma,"[salbutamol by Asthalin | Dosage - (I1-0-I1-0) | # Inhaler: 1-2 puffs as needed, typically twice daily for asthma relief.',
    'Budesonide by Budecort | Dosage - (I1-0-I1-0) | # Inhaler: 1-2 puffs twice daily for anti-inflammatory control in asthma.',
    'Zafirlukast by Accolate | Dosage - (T1-0-0-0) | # Tablet: 10-20 mg once daily, often at bedtime, to manage asthma symptoms.',
    'Cromolyn Sodium by Cromal | Dosage - (I1-I1-0-0) | # Inhaler or nebulizer: typically 1 puff/inhalation twice daily.',
    'Ipratropium Bromide by Ipravent | Dosage - (I1-0-I1-0) | # Inhaler: 1-2 puffs twice daily for bronchodilation in respiratory conditions.'
]"
Hypertension,"['Telmisartan by Telma | Dosage - (T1-0-0-0) | # Tablet: 20-40 mg once daily for hypertension management.',
    'Hydrochlorothiazide by Hydrochlorothiazide | Dosage - (T1-0-0-0) | # Tablet: 12.5-25 mg once daily, typically in the morning as a diuretic.',
    'Atenolol by Tenormin | Dosage - (T1-0-0-0) | # Tablet: 25-50 mg once daily, usually taken in the morning for blood pressure or heart rate control.',
    'Enalapril by Enapril | Dosage - (T1-0-0-0) | # Tablet: 5-10 mg once daily, typically for blood pressure management.'
]"
Migraine,"['Paracetamol by Crocin | Dosage - (T1-T1-T1-0) | # Tablet: 500 mg to 650 mg every 4-6 hours as needed for pain or fever relief (max 4 doses per day).',
    sumatriptan by Suminat | Dosage - (T1-0-0-0) | # Tablet: 50-100 mg as a single dose for acute migraine, up to a maximum of 200 mg in 24 hours.',
    'Topiramate by Topaz | Dosage - (0-T1-0-T1) | # Tablet: Gradually increased to 50-100 mg twice daily for migraine prevention.'
]"
Cervical spondylosis,"['Paracetamol by Crocin | Dosage - (T1-T1-T1-0) | # Tablet: 500 mg every 4-6 hours as needed, up to 3-4 times per day.',
    'Cyclobenzaprine by Flexura | Dosage - (T1-0-T1-0) | # Tablet: 5-10 mg once or twice daily as needed, based on muscle pain severity.'
]"
